analysis_id,ej55v5m0907uh95
pvalue,0.8937952
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
