mouse_life_stage,Late adult
analysis_id,b449vnsc5msk5c2
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.820278
gene_symbol,Secisbp2l
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,MGP_IMM_006_001
