analysis_id,7hcqxn3c0071528
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
pvalue,0.2933715
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
gene_symbol,Nucks1
