analysis_id,x57w5o788019h5g
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_020_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_name,Distance travelled - total
pvalue,0.535347
