gene_symbol,Ift74
mouse_life_stage,Early adult
analysis_id,yt2yf57c08mz9mm
gene_accession_id,MGI:1914944
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
pvalue,0.9762484
parameter_name,% Freezing duration pre-cue-2
