mouse_life_stage,Late adult
parameter_id,MGP_MLN_074_001
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,8x2x13c6z1n1u97
gene_accession_id,MGI:2446274
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.4901926
