analysis_id,8570992lg5siav1
parameter_id,IMPC_OFD_013_001
gene_symbol,Zyg11b
pvalue,0.1321958
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
parameter_name,Periphery average speed
