gene_symbol,Ola1
parameter_id,HMGULA_CBC_003_001
pvalue,0.9459766
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,94b57e1519dd38u
gene_accession_id,MGI:1914309
parameter_name,Chloride
