parameter_name,Creatinine
gene_accession_id,MGI:2385884
parameter_id,HMGULA_CBC_005_001
gene_symbol,Ddx27
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ahgwtsm1a4y7fx3
pvalue,0.8472207
