gene_symbol,Trp53rkb
parameter_name,Weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
parameter_id,M-G-P_005_001_001
pvalue,0.5718667
analysis_id,dh3193k700pmh8c
