gene_symbol,Tiprl
pvalue,0.869484
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,vx89i82d8knhu55
