gene_symbol,Zmynd8
mouse_strain,129SV
parameter_id,JAXLA_GRS_011_001
analysis_id,p957z904c1a913f
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.7536225
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
