analysis_id,k92372i0ojn4862
parameter_name,MZB (CD21/35 high)
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
pvalue,0.9480758
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
