parameter_name,HDL cholesterol
parameter_id,JAX_PLC_002_001
mouse_strain,C59BL
gene_symbol,Zmynd19
mouse_life_stage,Early adult
pvalue,0.1555722
analysis_id,t87ri0gsp595gob
gene_accession_id,MGI:1914437
