parameter_name,HDL-cholesterol
pvalue,0.4940473
mouse_life_stage,E9.5
gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
analysis_id,li5579m1imxz0ex
