analysis_id,2o45f418o8kdqux
parameter_name,Potassium
pvalue,0.6507346
mouse_strain,C57BL
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
