parameter_name,Basophil cell count
pvalue,0.1758966
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,IMPC_HEM_037_001
analysis_id,6p683524z99ukan
mouse_life_stage,Early adult
mouse_strain,C57BL
