gene_symbol,Mms22l
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,v1n4072pa04949z
parameter_name,Eyelid morphology
pvalue,0.4695359
mouse_strain,C57BL
