gene_symbol,Sass6
parameter_id,IMPC_DXA_009_001
mouse_life_stage,E9.5
pvalue,0.8540811
parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1920026
analysis_id,m7rcs043qq651pd
