mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_id,MGP_IMM_033_001
gene_symbol,Lpgat1
pvalue,0.2561289
mouse_strain,C57BL
analysis_id,31v8r8qbjeqedw6
parameter_name,Total NK cells - % of CD45+
