analysis_id,4zgrow4lrqqz916
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1414728
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
