gene_symbol,Mms22l
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
pvalue,0.3328858
mouse_strain,C57BL
analysis_id,j0p47ut0558l171
gene_accession_id,MGI:2684980
parameter_name,DN CD44+CD62L+ NKT cells
