parameter_name,PQ
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
analysis_id,z4gg6y3ep0j08pg
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
pvalue,0.9821174
mouse_strain,C57BL
