parameter_name,Vitreous
gene_accession_id,MGI:1915325
analysis_id,pctq7875g6c2l8p
mouse_strain,C57BL
parameter_id,UCDLA_EYE_083_001
mouse_life_stage,Early adult
pvalue,0.549531
gene_symbol,Lurap1
