gene_symbol,Atg4c
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
analysis_id,r2s49gjv33l5643
mouse_life_stage,Early adult
pvalue,0.2085738
gene_accession_id,MGI:2651854
