parameter_name,Shape of ribcage
mouse_life_stage,Early adult
pvalue,0.8355286
analysis_id,zxukb8v24js8ozu
mouse_strain,C57BL
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
parameter_id,IMPC_XRY_059_001
