parameter_name,Radius
gene_accession_id,MGI:1922745
pvalue,0.8108518
analysis_id,0d06a2935u2tp4r
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_symbol,Morn5
