gene_symbol,Slx4ip
parameter_id,IMPC_DXA_003_001
pvalue,0.8302507
parameter_name,Lean mass
mouse_strain,C57BL
analysis_id,74hg10my6kj796r
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
