gene_symbol,Nipal3
parameter_name,PP3 + pulse startle magnitude
analysis_id,815u69iv7f4f0l3
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,ESLIM_011_001_009
pvalue,0.09404276
