analysis_id,7nspaviv8465vsd
gene_accession_id,MGI:1345282
parameter_id,HMGULA_CBC_015_001
pvalue,0.8281584
parameter_name,Total cholesterol
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
