analysis_id,h0bhhv298f689s3
gene_symbol,Morn5
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_id,IMPC_EYE_008_001
pvalue,0.4347343
parameter_name,Corneal opacity
mouse_strain,C57BL
