parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
pvalue,0.6002615
mouse_strain,129SV
gene_accession_id,MGI:1918025
analysis_id,3603935s1e45xgq
mouse_life_stage,Early adult
gene_symbol,Zmynd8
