gene_symbol,Pglyrp3
mouse_life_stage,Early adult
pvalue,0.1707966
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,9e1h0d8xj0m52gf
gene_accession_id,MGI:2685266
