gene_symbol,Cmpk1
mouse_strain,C57BL
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.2688756
analysis_id,da645x00bslf9yg
parameter_id,MGP_MLN_014_001
