analysis_id,3588rgisbi9w016
mouse_strain,C57BL
pvalue,0.9032574
mouse_life_stage,Middle aged adult
parameter_name,Weight
gene_accession_id,MGI:1345282
parameter_id,CCP_LFO_001_001
gene_symbol,Slc30a4
