analysis_id,wc6377kee10297m
parameter_name,Startle response
gene_accession_id,MGI:2446186
pvalue,0.5012581
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,MGP_CSD_008_001
