analysis_id,75qa26cky497b81
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.08078081
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
gene_symbol,Frmpd1
mouse_strain,C57BL
