analysis_id,74gon5d2l35e719
parameter_id,IMPC_ACS_033_001
mouse_strain,C57BL
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.3085751
gene_accession_id,MGI:107414
