analysis_id,97f251w6z9vt2qs
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1274787
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
gene_symbol,Trdmt1
pvalue,0.8760344
