gene_symbol,Galnt13
analysis_id,8c90yub5gt692z4
mouse_strain,C57BL
pvalue,0.6647442
parameter_name,Potassium
mouse_life_stage,Late adult
parameter_id,GMC_906_001_005
gene_accession_id,MGI:2139447
