parameter_name,Hemorrhage
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
parameter_id,IMPC_GEO_009_002
analysis_id,k7q7hgri32i5xhp
gene_symbol,Fgb
pvalue,0.9807364
