analysis_id,r24n3z4dqxa7965
gene_symbol,Hpca
pvalue,0.1953482
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1336200
parameter_name,Effector NK cells - % of NK cells
