parameter_name,Embryo Size
mouse_life_stage,Early adult
analysis_id,o6f5870ck606y48
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
pvalue,0.4169694
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
