gene_symbol,Pum1
gene_accession_id,MGI:1931749
mouse_strain,C57BL
pvalue,0.796843
mouse_life_stage,Early adult
parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
analysis_id,7i85m14fo97a4v5
