analysis_id,7g7k9nx549ttqhg
parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
pvalue,0.4729883
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
