analysis_id,a5wf817thd5n3j9
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:3045306
pvalue,0.50272
gene_symbol,Exd1
mouse_life_stage,Early adult
