parameter_id,IMPC_XRY_025_001
analysis_id,8z9690c12lbqfx2
pvalue,0.2540699
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
gene_symbol,Cdin1
parameter_name,Tibia
mouse_strain,C57BL
