analysis_id,e49blehq291adl2
parameter_name,Center average speed
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:108072
pvalue,0.6480206
gene_symbol,Traf6
mouse_life_stage,Early adult
