gene_symbol,Duoxa2
parameter_id,HRWLLA_CBC_014_001
pvalue,0.7080041
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
analysis_id,qr4627ng217gru6
gene_accession_id,MGI:1914061
