parameter_name,Caudal processes
mouse_strain,C57BL
analysis_id,oa2e72qis9j7c3z
mouse_life_stage,Early adult
pvalue,0.3348386
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:1914944
gene_symbol,Ift74
