analysis_id,r465568ns4d8bv7
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
parameter_name,Eye
pvalue,0.6028961
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
