parameter_name,Activity (body position)
gene_accession_id,MGI:1931322
gene_symbol,Car13
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
analysis_id,bs0o75178l3910t
pvalue,0.3899073
mouse_strain,C57BL
