parameter_name,Whole arena resting time
mouse_strain,C57BL
gene_symbol,TUBB4B
mouse_life_stage,Early adult
analysis_id,n344d0y8ag10mc7
pvalue,0.2555282
parameter_id,JAXLA_OFD_007_001
gene_accession_id,MGI:1915472
