analysis_id,vh50eeicg7w3a8q
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
pvalue,0.995751
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_name,T cells - % of CD45+
