analysis_id,18b207rs15z17m2
mouse_life_stage,Early adult
parameter_name,Skull shape
gene_accession_id,MGI:105073
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
pvalue,0.6828502
gene_symbol,Tnni1
