analysis_id,zo8794e463m450l
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Early adult
pvalue,0.9659233
