analysis_id,uq7zf831p72b2mt
gene_symbol,Rab22a
parameter_id,ESLIM_004_001_701
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
parameter_name,Glucose response AUC
mouse_strain,C57BL
pvalue,0.7245141
