analysis_id,4ut41r65472808f
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.4272485
gene_accession_id,MGI:3026886
parameter_id,MGP_MLN_066_001
gene_symbol,Cdin1
mouse_life_stage,Early adult
mouse_strain,C57BL
