parameter_name,Fat/Body weight
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
analysis_id,xi0u2211t823pr1
pvalue,0.2683129
mouse_strain,C57BL
gene_symbol,F2
gene_accession_id,MGI:88380
