analysis_id,rv6i1996h8gqe0s
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
gene_symbol,Gfi1b
mouse_strain,C57BL
pvalue,0.7670637
gene_accession_id,MGI:1276578
parameter_name,Effector CD8+ T cells - % of CD8+
