gene_symbol,Slc2a8
parameter_id,IMPC_ECG_008_001
pvalue,0.9658077
mouse_life_stage,Early adult
parameter_name,ST
analysis_id,mldyb100e0p555d
gene_accession_id,MGI:1860103
mouse_strain,C57BL
