gene_symbol,Ilkap
pvalue,0.3439028
mouse_life_stage,Early adult
analysis_id,8e4880h761f0jh6
parameter_name,110dB startle magnitude
gene_accession_id,MGI:1914694
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
