analysis_id,7z15335u4117fsy
parameter_id,ESLIM_011_001_006
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,110dB startle magnitude
pvalue,0.09865663
gene_accession_id,MGI:2684980
