analysis_id,2r1833ztcx4alg8
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.3635988
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:1915087
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
